2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
2025-06-20 16:39:29 | ERROR | Error processing record: 'product_id'
